PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
5771057,11690,significantly increase,"Results suggest that in the simple DT (M = 1.45) and moderate DT (M = 1.26) levels, participants were more accurate than in the complex DT (M = 1.16) levels.",43427,43639,True
4796457,12588,significantly increase,"The results is shown that after the intervention, ICIQ score has a significant difference between the two groups (P = 0.001). In other words, the training sessions improved the score in the experimental group versus control group.",20420,20651,True
3659039,12557,no significant difference,"Plasma PC ARA tended to decrease in the both groups (Figure 1). However, there were no significant differences from baseline in either group and there were no differences between groups at any timepoint.",19261,19504,True
4431716,12505,significantly decreased,The average hospitalization for the study group and control group was 13.8 (8.1) and 17.5 (14.5) respectively (p value <0.001).,36491,36619,True
1865086,11204,no significant difference,"visceral fat area declined 23.9 ± 7.4 cm2 in GH group, mean difference from placebo: −28.1 cm2 (95% CI −49.9 to −6.3 cm2; p = 0.02).",5581,5763,True
5836868,13370,significantly decreased,"From baseline to the end of the study, there was a consistently significant relative reduction in HbA1c in the alogliptin group as compared with placebo in each baseline HbA1c category (Figure 1).",46321,46569,True
3488177,12963,no significant difference,"Patients in the tourniquet group had less overt bleeding (317 mL vs. 615 mL), but the total bleeding estimated by hemoglobin dilution at day 4 was only slightly less (1,184 mL vs. 1,236 mL) with a mean difference of –54 mL (95% CI –256 to 152).",4374,4619,True
1974799,11286,significantly increase,"Significantly, more patients taking rizatriptan achieved both PR and PF within 2 h after dosing than other oral triptans.",3959,4081,True
4312979,12777,no significant difference,"The pain intensity and attack duration tended to decrease in the active group compared with the placebo group during the first month of follow-up (P = .42 and P = .37, respectively).",49266,49482,True
5980265,13024,no significant difference,"There were no differences in UP, GFR, and NaFE between the fenoldopam and the placebo groups.",6463,6556,True
3131514,12757,no significant difference,"Finally, prednisolone treatment increased whole-body proteolysis during hyperinsulinaemia, which tended to be driven by prednisolone 30 mg (5 ± 2%; p = 0.06).",5521,5696,True
1619408,11528,no significant difference,A similar proportion of patients in the ibandronate/PSP group [371/542 (68.5%)] and alendronate group [381/513 (74.3%)] experienced at least one adverse event.,38018,38178,True
5844373,11749,no significant difference,"Median OS was 41.9 months (95% CI, 31.8 to 58.0) in the concurrent regimen group and 30.7 months (95% CI, 22.7 to 38.3 months) in the sequential alternating regimen group (HR 0.58 (95% CI, 0.34 to 0.97); P=0.036; figure 2).",29251,29512,True
4439020,12068,no significant difference,"The distribution of scores in the Stanford Sleepiness Scale differed in the treatment arm as compared to the control arm, and there was a difference in mean values (p = 0.015).",7321,7497,True
5747130,13289,no significant difference,"The mean procedure duration from skin incision to insertion of the tracheal cannula did not differ significantly (n.s.) between the groups, being 14.7 ± 11.0 minutes in the VST group vs. 10.6 ± 8.2 minutes in the bronchoscopy group in the ITT analysis, and 10.0 ± 4.8 minutes vs. 10.6 ± 8.2 minutes (n.s.) in the PP analysis, respectively.",22651,22990,True
1550632,11532,no significant difference,"no between-group differences in quit rates were observed in smokers in the precontemplation (OR=1.07, CI 0.36-3.14, P=.91) and preparation (OR=1.15, CI 0.97-1.37, P=.10) stages of change.",5803,6024,True
3488177,12964,no significant difference,There was no significant difference in morphine consumption.,4692,4752,True
1131903,11546,no significant difference,"0.76). When tested for report of false murmurs, the group using conventional stethoscopes had 12 correct and 8 incorrect responses. The group using the electronic stethoscope had 11 correct and 9 incorrect responses (p = 0.75).",17113,17341,True
4967511,12535,significantly increase,"Significant differences between groups were limited to the outcomecategory Motor Skills (Complex Reaction Ability, Spatial Orientation Skills, Coordination with Precision) which were higher in the intervention group (P < .05).",6291,6551,True
3672758,12012,significantly increase,"The Ki-67 mean change relative to baseline was -29.1% (P = 0.019) and -8.2% (P = 0.384) in the treatment and control arm, respectively. Between treatment groups, the change in Ki-67 was statistically significant (P = 0.029)",8532,8806,True
387830,12367,significantly increase,The vitality measure showed a significant improvement for the celecoxib group (p = 0.012) but the magnitude of this effect was quite small.,31642,31781,True
3622234,12728,no significant difference,No difference in weight loss was seen between the two RT fractionation schedules (p = 0.839).,5034,5128,True
1794452,11330,significantly decreased,"This was related to a reduction of nosocomial pneumonia, which occurred in 16 (80%) patients versus seven (33%) patients, respectively (p < 0.001), and of ventilator-associated pneumonia from 13 to six episodes, respectively (p = 0.023).",6250,6527,True
