PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
5773922,12853,significantly increase,plasma levels of marine n-3 fatty acids,6463,6520,True
5773922,12853,significantly increase,increased significantly in the fish and krill groups compared with the control,6520,6599,True
3493727,13079,significantly decreased,"longer mean recovery time (10.5 minutes vs 7.9 minutes, p=0.027",5718,5781,True
5801240,12225,no significant difference,"At week 52, the least squares mean",5521,5556,True
5801240,12225,no significant difference,"change (95% CI) from baseline in HbA1c was − 0.6% (− 0.7, − 0.5), − 0.6% (− 0.6, − 0.5), and − 0.7% (− 0.8, − 0.7) in the ertugliflozin 15 mg, ertugliflozin 5 mg, and glimepiride groups, respectively",5556,5755,True
5773985,13176,no significant difference,There was no significant difference between the two groups regarding the onset of action,5105,5194,True
5819580,12936,significantly increase,"The time to first use of rescue medication was significantly longer versus placebo with meloxicam IV 60 mg (P<0.05),",5782,5916,True
1224861,11633,significantly decreased,30-day mortality	3.4	7.5	0	0.06,17854,17977,True
5984011,11705,significantly increase,"there was a significant difference in terms of sexual desire (p=0.002), lubrication (p=0.002), orgasm (p=0.004) and pain (p<0.001) after eight weeks of the intervention among the three groups",7775,7966,True
3953523,13338,no significant difference,"The VAS, KOOS and ROM were improved after 4 weeks of administration in both groups, but the differences between the two groups were not statistically significant.",4725,4888,True
5809703,11677,significantly increase,"the incidence and dose of additional ephedrine were significantly higher in Group P2.5 (31.9%; 0 [0–20]) than in Group P1.5 (10.6%, P = 0.012; 0 [0–5], P = 0.007, respectively).",5659,5836,True
5983010,13224,significantly increase,Macular sensitivity increased from a mean (SD) of 25.9 (2.4) dB at baseline to 27.3 (2.3) dB at 90 days (P=0.030) in the DHA group only (between-group differences P<0.19).,5287,5493,True
29047,11553,no significant difference,"There were no differences in respiratory rates, oxygen saturations, arterial pH and arterial partial carbon dioxide tension (PaCO2) between the groups",2299,2460,True
3698199,12901,no significant difference,"Treatment superiority of TAU + SWT was neither confirmed by interaction effects (time x condition) for SUD or PTSD symptoms, nor by a group difference for SUD diagnostic status at post-treatment.",4452,4648,True
3698199,12901,no significant difference,"Treatment superiority of TAU + SWT was neither confirmed by interaction effects (time x condition) for SUD or PTSD symptoms, nor by a group difference for SUD diagnostic status at post-treatment.",4452,4648,True
3636841,12308,no significant difference,Majority of kids of both group A and B scored 3 (Frankl Behavior Rating Scale) before and after the treatment showing no statistical difference in their behavioral score (P = 1).,4057,4256,True
3733748,12788,no significant difference,"Compared with the placebo group, the mean baPWV did not improve in the cilostazol group",5404,5492,True
1193545,11395,no significant difference,No significant differences were found in any of the outcome measures between the BNHS group and either of the comparison groups,5251,5378,True
