PMCID,ID,Label,Selected Text,Start,End,Valid Prompt
5856421,12925,no significant difference,Six patients (30%) in the CLC group and four patients (20%) in the HLC group required an intraperitoneal drain. The difference was not significant (p = 0.716).,21345,21504,True
4756949,12503,no significant difference,There were no statistically significant differences between the two groups for all parameters of blood gas analysis.,23588,23706,True
5027814,12521,significantly increase,"Time to CDMS was shorter in the delayed-treatment arm (log rank p = 0.0034) as well as time to first relapse (hazard ratio 0.655 [95% CI 0.517–0.830], p = 0.0005).",86884,87081,True
3714488,13274,significantly increase,Increases in systolic and diastolic blood pressures also were evident after IH,28791,28870,True
3686216,13242,significantly decreased,"Furthermore, replacement of traditional games with active input games resulted in a significant decrease in sedentary time in the after-school period of 6.2 min/day (1.4 to 11.1, p=0.012).",30379,30569,True
1874716,11655,no significant difference,"the TCC group used CPAP 4.1 ± 1.8 hours per night, while the UCC control group used CPAP 2.8 ± 2.2 hours per night (P = .07).",46387,46530,True
1705528,11515,significantly decreased,"Valacyclovir [9, 18]	500 mg bid × 3 days versus 500 mg bid × 5 days1,000 mg bid × 5 days versus 200 mg acyclovir 5 times daily × 5 days versus placebo	4.4 versus 4.7 (P = NS)4.8 versus 4.8 versus 6.0 (P < .001)b",12597,-1,True
1974808,11406,significantly decreased,The average total direct costs with caspofungin was £9763 (6955–12 577; 95% CI) compared with £11 795 (8902–14 724; 95% CI) for L-Amb. This difference was primarily caused by higher antifungal drug cost observed for the L-Amb-treated patient.,-1,-1,True
3264513,11958,no significant difference,"In the full model there were no significant diet-induced changes in any of the here investigated dominant groups of the human gut microbiome, p > 0.23 for all measured gut microbiota groups after 6 weeks, and p > 0.58 for all groups after 18 weeks (Table 2).",32252,32556,True
1978057,11475,,"The outcome of ""initial micronuclei counts"" is not applicable to the intervention and comparator, since the levels were measured before receiving the treatment, hence ""initial"" counts. If the outcome was ""micronuclei counts"" the answer would have been significantly decreased.",-1,-1,False
5986495,13203,no significant difference,No differences were observed between WAT and NNS for any of the parameter kinetics.,39599,39682,True
4315810,12791,significantly increase,"Attention towards all categories of warnings increased when they were presented on standardized packs compared to branded packs (F(1,29) = 26.9, p < 0.001, partial η2 = 0.481).",23591,23832,True
3622234,12730,significantly decreased,At the end of RT patients treated with AF received TF more frequently than patients treated with CF (p < 0.001),16768,16879,True
5773922,12855,significantly increase,"Furthermore, the particle concentration of XS-VLDL increased significantly in the krill group compared with the fish group and the control group (P = 0·007, not shown).",53635,53821,True
4763470,12381,significantly increase,"C. ficifolia plus yogurt consumption resulted in a decrease in triglyceride (TG) and an increase in high-density lipoprotein cholesterol (HDL-C) (within groups P < 0.001 and P = 0.001, respectively).",6058,6304,True
5302797,12968,significantly increase,"However, the QET group had significantly longer (p = .001) QE2 durations at retention (M = 236.85, SD = 43.30ms). compared to the TT group (M = 156.96, SD = 67.65ms).",49099,49350,True
1949842,11439,no significant difference,"No significant difference in the rates of premature births (gestational age <37 wk) was noted between the two groups (7.8% and 7.9% respectively, p = 1.00).",41959,42135,True
