user_id,prompt id,pmid_id,selection,annotation,outcome,comparator,intervention,invalid prompt,prompt reason
lidija,82,2875419,Significantly increased,"Weight gain was higher for glargine (difference: 0.77 kg, P < 0.001).", Weight Gain , detemir , glargine ,0,
lidija,17,2366143,Invalid Prompt,,  cervical Bishop's score  ,  placebo  ,  antibiotic therapy  ,1, No data on cervical Bishop's score after therapy.
lidija,75,3281242,Significantly increased,"Continuous abstinence was higher for varenicline than for placebo subjects at the end of treatment (Weeks 9�??12: 53.1% vs. 19.3%; odds ratio [OR] 5.9; 95% CI, 3.7�??9.4; p < .0001) and through 24 weeks follow-up (Weeks 9�??24: 34.7% vs. 12.7%; OR 4.4; 95% CI, 2.6�??7.5; p < .0001).", continuous abstienence at 24 week follow up , placebo , varenicline ,0,
lidija,64,1764008,No significant difference,Differences in the duration of the active-first and the second stages of labor were not statistically significant., duration of labor stages , epidural analgesia , Meperidine analgesia ,0,
lidija,79,2875419,No significant difference,"27.5 and 25.6% of patients reached the primary outcome with glargine and detemir, respectively, demonstrating the noninferiority of glargine. Improvements in A1C were ?1.46 ± 1.09% for glargine and ?1.54 ± 1.11% for detemir (P = 0.149), with similar proportions of patients achieving A1C <7% (P = 0.254)", number of patients with A1C <7% , glargine , detemir ,0,
lidija,13,2366143,No significant difference,". No significant differences in the interval to delivery, birth weight, and neonatal outcomes were observed between the 2 groups.", neonatal outcomes , antibiotic therapy and tocolysis , tocolysis ,0,
lidija,88,2944158,No significant difference,"IV therapy duration did not differ between groups (P = 0.22),", therapy duration , staff inclination replacement , routine replacement ,0,
lidija,42,2674549,Significantly increased,"At week 24, median improvements from baseline in HAQ-DI scores were 0.13, 0.13 (p?=?0.240), 0.38 (p<0.001) and 0.50 (p<0.001), respectively", HAQ-DI score , placebo and methotrexate , 50mg of Golimumab and methotrexate ,0,
lidija,51,524504,Significantly decreased,"there was less need for oxytocin augmentation (65.8% vs. 81.5%, p < 0.05)", administration of oxytocin augmentation , dinoprostone , misoprostol ,0,
lidija,43,2674549,Significantly increased,"At week 24, median improvements from baseline in HAQ-DI scores were 0.13, 0.13 (p?=?0.240), 0.38 (p<0.001) and 0.50 (p<0.001), respectively.", HAQ-DI score , placebo and methotrexate , 100mg of Golimumab and methotrexate ,0,
lidija,48,524504,Significantly increased,"<td colspan=""6""><hr></td>", number of women who deliver within 12 hours , dinoprostone , misoprostol ,0,
lidija,77,3281242,Cannot tell based on the abstract,,  time to make first quit attempt  ,  placebo  ,  varenicline  ,0,
lidija,77,3281242,Significantly increased,Varenicline-treated subjects made their first quit attempt significantly earlier than placebo-treated subjects (p = .0074),  time to make first quit attempt  ,  placebo  ,  varenicline  ,0,
lidija,53,524504,No significant difference,"<td colspan=""6""><hr></td>", abnormal fetal heart rate , misoprostol , dinoprostone ,0,
lidija,60,524504,No significant difference,Hyperbilirubinemia 2	9 (11.3%)	5 (6.0%)	NS,  Hyperbilirubinemia  ,  misoprostol  ,  dinoprostone  ,0,
lidija,70,1764008,No significant difference,There was no significant difference in the incidence of nausea and vomiting between the two groups (epidural 6% vs. meperidine 4%).,  nausea and vomiting  ,  epidural analgesia  ,  Meperidine analgesia  ,0,
lidija,40,2674549,No significant difference,"The proportion of patients who achieved an ACR20 response at week 14 was 33.1% in the placebo plus methotrexate group, 44.4% (p?=?0.059) in the golimumab 100 mg plus placebo group,", ACR20  , Golimumab 100 mg and placebo , placebo and methotrexate ,0,
lidija,62,1764008,No significant difference,There was no statistical difference in rates of vacuum-assisted delivery rate., rates of vacuum-assisted delivery rate , epidural analgesia , Meperidine analgesia ,0,
lidija,95,2944158,Significantly increased,"For individual IVD dwell times, the clinically indicated group devices had a median dwell time of 85 hours (quartiles 51 and 121 hours), and those replaced routinely had a median dwell time of 71 hours (quartiles 48 and 90 hours) (P < 0.001).",  IVD dwell times  ,  routine replacement  ,  staff inclination replacement  ,0,
lidija,39,2674549,Significantly increased,The addition of golimumab to methotrexate in patients with active RA despite methotrexate therapy significantly reduced the signs and symptoms of RA and improved physical function., physical function , methotrexate , golimumab and methotrexate ,0,
lidija,55,524504,Cannot tell based on the abstract,,  Uterine Hyperstimulation  ,  dinoprostone  ,  misoprostol  ,0,
lidija,55,524504,No significant difference,"<td colspan=""6""><hr></td>",  Uterine Hyperstimulation  ,  dinoprostone  ,  misoprostol  ,0,
lidija,3,3298351,Cannot tell based on the abstract,,  venous ulcer healing  ,  no treatment  ,  compression therapy  ,0,
lidija,3,3298351,Invalid Prompt,,  venous ulcer healing  ,  no treatment  ,  compression therapy  ,1," there is no  ""no treatment"" group"
